load data...
Start train...
2022-01-14 16:31:51.323892 Epoch [001/200], Step [0001/0253], Total_loss: 7.8728 Loss1: 5.8582 Loss2: 2.0145
2022-01-14 16:32:12.049656 Epoch [001/200], Step [0020/0253], Total_loss: 4.2084 Loss1: 3.2670 Loss2: 0.9414
2022-01-14 16:32:33.696112 Epoch [001/200], Step [0040/0253], Total_loss: 4.3205 Loss1: 3.3617 Loss2: 0.9588
2022-01-14 16:32:55.064645 Epoch [001/200], Step [0060/0253], Total_loss: 4.1307 Loss1: 3.2080 Loss2: 0.9227
2022-01-14 16:33:16.603375 Epoch [001/200], Step [0080/0253], Total_loss: 3.8705 Loss1: 2.9994 Loss2: 0.8711
2022-01-14 16:33:38.030891 Epoch [001/200], Step [0100/0253], Total_loss: 3.8058 Loss1: 2.9767 Loss2: 0.8291
2022-01-14 16:33:59.342851 Epoch [001/200], Step [0120/0253], Total_loss: 3.8026 Loss1: 2.9486 Loss2: 0.8541
2022-01-14 16:34:20.955062 Epoch [001/200], Step [0140/0253], Total_loss: 4.0114 Loss1: 3.0843 Loss2: 0.9271
2022-01-14 16:34:42.311431 Epoch [001/200], Step [0160/0253], Total_loss: 3.1739 Loss1: 2.4780 Loss2: 0.6959
2022-01-14 16:35:03.747403 Epoch [001/200], Step [0180/0253], Total_loss: 3.5930 Loss1: 2.7746 Loss2: 0.8184
2022-01-14 16:35:25.537370 Epoch [001/200], Step [0200/0253], Total_loss: 4.6912 Loss1: 3.6680 Loss2: 1.0232
2022-01-14 16:35:47.078473 Epoch [001/200], Step [0220/0253], Total_loss: 3.1146 Loss1: 2.4721 Loss2: 0.6425
2022-01-14 16:36:08.286029 Epoch [001/200], Step [0240/0253], Total_loss: 3.1592 Loss1: 2.5008 Loss2: 0.6584
2022-01-14 16:36:34.144053 Epoch [001/200], Step [0253/0253], Total_loss: 3.4626 Loss1: 2.6509 Loss2: 0.8118
Epoch: 1, MAE: 0.05624382750116239, bestMAE: 1, bestEpoch: 0.
2022-01-14 16:43:10.378886 Epoch [002/200], Step [0001/0253], Total_loss: 3.2816 Loss1: 2.5707 Loss2: 0.7109
2022-01-14 16:43:30.802696 Epoch [002/200], Step [0020/0253], Total_loss: 3.0306 Loss1: 2.3615 Loss2: 0.6691
2022-01-14 16:43:50.255066 Epoch [002/200], Step [0040/0253], Total_loss: 2.8493 Loss1: 2.1929 Loss2: 0.6564
2022-01-14 16:44:08.649002 Epoch [002/200], Step [0060/0253], Total_loss: 3.0583 Loss1: 2.3578 Loss2: 0.7005
2022-01-14 16:44:27.090946 Epoch [002/200], Step [0080/0253], Total_loss: 3.3851 Loss1: 2.6655 Loss2: 0.7196
2022-01-14 16:44:47.796256 Epoch [002/200], Step [0100/0253], Total_loss: 3.0227 Loss1: 2.3889 Loss2: 0.6338
2022-01-14 16:45:08.431979 Epoch [002/200], Step [0120/0253], Total_loss: 3.1468 Loss1: 2.4254 Loss2: 0.7215
2022-01-14 16:45:29.283824 Epoch [002/200], Step [0140/0253], Total_loss: 3.1999 Loss1: 2.4724 Loss2: 0.7275
2022-01-14 16:45:49.848723 Epoch [002/200], Step [0160/0253], Total_loss: 2.7207 Loss1: 2.1153 Loss2: 0.6054
2022-01-14 16:46:10.488050 Epoch [002/200], Step [0180/0253], Total_loss: 2.8488 Loss1: 2.2589 Loss2: 0.5898
2022-01-14 16:46:31.204922 Epoch [002/200], Step [0200/0253], Total_loss: 3.3171 Loss1: 2.6172 Loss2: 0.7000
2022-01-14 16:46:51.894186 Epoch [002/200], Step [0220/0253], Total_loss: 3.1978 Loss1: 2.4914 Loss2: 0.7063
2022-01-14 16:47:12.756048 Epoch [002/200], Step [0240/0253], Total_loss: 3.2240 Loss1: 2.4699 Loss2: 0.7540
2022-01-14 16:47:25.976181 Epoch [002/200], Step [0253/0253], Total_loss: 2.5632 Loss1: 1.9703 Loss2: 0.5930
Epoch: 2, MAE: 0.0486648342648734, bestMAE: 0.05624382750116239, bestEpoch: 0.
Save state_dict successfully! Best epoch:2.
2022-01-14 16:53:51.084465 Epoch [003/200], Step [0001/0253], Total_loss: 3.1022 Loss1: 2.4438 Loss2: 0.6584
2022-01-14 16:54:11.427450 Epoch [003/200], Step [0020/0253], Total_loss: 2.7704 Loss1: 2.1908 Loss2: 0.5796
2022-01-14 16:54:33.069410 Epoch [003/200], Step [0040/0253], Total_loss: 2.6516 Loss1: 2.0934 Loss2: 0.5583
2022-01-14 16:54:54.694670 Epoch [003/200], Step [0060/0253], Total_loss: 2.4554 Loss1: 1.9144 Loss2: 0.5410
2022-01-14 16:55:16.234329 Epoch [003/200], Step [0080/0253], Total_loss: 2.9775 Loss1: 2.3025 Loss2: 0.6750
2022-01-14 16:55:37.771952 Epoch [003/200], Step [0100/0253], Total_loss: 2.7593 Loss1: 2.1734 Loss2: 0.5859
2022-01-14 16:55:59.359188 Epoch [003/200], Step [0120/0253], Total_loss: 2.9366 Loss1: 2.2626 Loss2: 0.6739
