load data...
Start train...
2022-01-19 11:58:24.339470 Epoch [001/200], Step [0001/0253], Total_loss: 7.7748 Loss1: 5.6499 Loss2: 2.1249
2022-01-19 11:58:32.727969 Epoch [001/200], Step [0020/0253], Total_loss: 4.2801 Loss1: 3.3550 Loss2: 0.9251
2022-01-19 11:58:41.458611 Epoch [001/200], Step [0040/0253], Total_loss: 4.0026 Loss1: 3.1136 Loss2: 0.8890
2022-01-19 11:58:50.171629 Epoch [001/200], Step [0060/0253], Total_loss: 3.4066 Loss1: 2.7161 Loss2: 0.6905
2022-01-19 11:58:58.915874 Epoch [001/200], Step [0080/0253], Total_loss: 3.8522 Loss1: 3.0265 Loss2: 0.8257
2022-01-19 11:59:07.680410 Epoch [001/200], Step [0100/0253], Total_loss: 3.2829 Loss1: 2.6125 Loss2: 0.6705
2022-01-19 11:59:16.440141 Epoch [001/200], Step [0120/0253], Total_loss: 3.1203 Loss1: 2.4447 Loss2: 0.6756
2022-01-19 11:59:25.228945 Epoch [001/200], Step [0140/0253], Total_loss: 3.0846 Loss1: 2.4393 Loss2: 0.6453
2022-01-19 11:59:34.043271 Epoch [001/200], Step [0160/0253], Total_loss: 3.4891 Loss1: 2.7262 Loss2: 0.7629
2022-01-19 11:59:43.026615 Epoch [001/200], Step [0180/0253], Total_loss: 3.1987 Loss1: 2.4856 Loss2: 0.7130
2022-01-19 11:59:51.947347 Epoch [001/200], Step [0200/0253], Total_loss: 3.5038 Loss1: 2.7883 Loss2: 0.7155
2022-01-19 12:00:00.935725 Epoch [001/200], Step [0220/0253], Total_loss: 3.2928 Loss1: 2.5787 Loss2: 0.7141
2022-01-19 12:00:09.843404 Epoch [001/200], Step [0240/0253], Total_loss: 3.0266 Loss1: 2.3932 Loss2: 0.6334
2022-01-19 12:00:24.917365 Epoch [001/200], Step [0253/0253], Total_loss: 3.2007 Loss1: 2.5214 Loss2: 0.6792
Epoch: 1, MAE: 0.06954725912349503, bestMAE: 1, bestEpoch: 0.
2022-01-19 12:03:11.475830 Epoch [002/200], Step [0001/0253], Total_loss: 2.8082 Loss1: 2.2333 Loss2: 0.5749
2022-01-19 12:03:19.796476 Epoch [002/200], Step [0020/0253], Total_loss: 3.0656 Loss1: 2.4069 Loss2: 0.6587
2022-01-19 12:03:28.563970 Epoch [002/200], Step [0040/0253], Total_loss: 3.1813 Loss1: 2.5292 Loss2: 0.6521
2022-01-19 12:03:37.339571 Epoch [002/200], Step [0060/0253], Total_loss: 2.9004 Loss1: 2.2923 Loss2: 0.6081
2022-01-19 12:03:46.038399 Epoch [002/200], Step [0080/0253], Total_loss: 2.7597 Loss1: 2.1299 Loss2: 0.6298
2022-01-19 12:03:54.817644 Epoch [002/200], Step [0100/0253], Total_loss: 2.5383 Loss1: 2.0002 Loss2: 0.5381
2022-01-19 12:04:03.637379 Epoch [002/200], Step [0120/0253], Total_loss: 3.2659 Loss1: 2.5547 Loss2: 0.7112
2022-01-19 12:04:12.577504 Epoch [002/200], Step [0140/0253], Total_loss: 3.3443 Loss1: 2.5910 Loss2: 0.7533
2022-01-19 12:04:21.563725 Epoch [002/200], Step [0160/0253], Total_loss: 3.3433 Loss1: 2.6318 Loss2: 0.7115
2022-01-19 12:04:30.592810 Epoch [002/200], Step [0180/0253], Total_loss: 3.0647 Loss1: 2.4007 Loss2: 0.6640
2022-01-19 12:04:39.411237 Epoch [002/200], Step [0200/0253], Total_loss: 2.4926 Loss1: 1.9578 Loss2: 0.5348
2022-01-19 12:04:48.367600 Epoch [002/200], Step [0220/0253], Total_loss: 3.2079 Loss1: 2.5091 Loss2: 0.6988
2022-01-19 12:04:57.388230 Epoch [002/200], Step [0240/0253], Total_loss: 3.1358 Loss1: 2.4585 Loss2: 0.6772
2022-01-19 12:05:03.181367 Epoch [002/200], Step [0253/0253], Total_loss: 3.0630 Loss1: 2.4207 Loss2: 0.6423
Epoch: 2, MAE: 0.05440826132145526, bestMAE: 0.06954725912349503, bestEpoch: 0.
Save state_dict successfully! Best epoch:2.
2022-01-19 12:07:43.663955 Epoch [003/200], Step [0001/0253], Total_loss: 3.2014 Loss1: 2.4912 Loss2: 0.7102
2022-01-19 12:07:52.752457 Epoch [003/200], Step [0020/0253], Total_loss: 2.8184 Loss1: 2.2140 Loss2: 0.6045
2022-01-19 12:08:01.520178 Epoch [003/200], Step [0040/0253], Total_loss: 3.4715 Loss1: 2.7244 Loss2: 0.7471
2022-01-19 12:08:10.218033 Epoch [003/200], Step [0060/0253], Total_loss: 2.9824 Loss1: 2.2567 Loss2: 0.7258
2022-01-19 12:08:18.932081 Epoch [003/200], Step [0080/0253], Total_loss: 2.6110 Loss1: 2.0289 Loss2: 0.5821
2022-01-19 12:08:27.726367 Epoch [003/200], Step [0100/0253], Total_loss: 2.5543 Loss1: 1.9801 Loss2: 0.5742
2022-01-19 12:08:36.452593 Epoch [003/200], Step [0120/0253], Total_loss: 3.6328 Loss1: 2.7350 Loss2: 0.8979
2022-01-19 12:08:45.429226 Epoch [003/200], Step [0140/0253], Total_loss: 2.8925 Loss1: 2.2586 Loss2: 0.6338
2022-01-19 12:08:54.466142 Epoch [003/200], Step [0160/0253], Total_loss: 2.7967 Loss1: 2.1820 Loss2: 0.6147
2022-01-19 12:09:03.552558 Epoch [003/200], Step [0180/0253], Total_loss: 2.9348 Loss1: 2.3171 Loss2: 0.6177
2022-01-19 12:09:12.520468 Epoch [003/200], Step [0200/0253], Total_loss: 2.3995 Loss1: 1.9001 Loss2: 0.4995
2022-01-19 12:09:21.443101 Epoch [003/200], Step [0220/0253], Total_loss: 2.7903 Loss1: 2.1700 Loss2: 0.6204
2022-01-19 12:09:30.353361 Epoch [003/200], Step [0240/0253], Total_loss: 2.6222 Loss1: 2.0512 Loss2: 0.5710
2022-01-19 12:09:36.183995 Epoch [003/200], Step [0253/0253], Total_loss: 3.1807 Loss1: 2.4202 Loss2: 0.7605
Epoch: 3, MAE: 0.05753364315993826, bestMAE: 0.05440826132145526, bestEpoch: 2.
2022-01-19 12:12:17.902620 Epoch [004/200], Step [0001/0253], Total_loss: 3.2798 Loss1: 2.5432 Loss2: 0.7366
2022-01-19 12:12:26.136243 Epoch [004/200], Step [0020/0253], Total_loss: 2.6269 Loss1: 2.0536 Loss2: 0.5734
2022-01-19 12:12:34.928700 Epoch [004/200], Step [0040/0253], Total_loss: 2.5802 Loss1: 1.9813 Loss2: 0.5990
2022-01-19 12:12:43.693109 Epoch [004/200], Step [0060/0253], Total_loss: 2.8900 Loss1: 2.2099 Loss2: 0.6801
2022-01-19 12:12:52.444441 Epoch [004/200], Step [0080/0253], Total_loss: 2.7609 Loss1: 2.1329 Loss2: 0.6280
2022-01-19 12:13:01.200483 Epoch [004/200], Step [0100/0253], Total_loss: 2.4386 Loss1: 1.9029 Loss2: 0.5356
2022-01-19 12:13:10.090141 Epoch [004/200], Step [0120/0253], Total_loss: 2.6405 Loss1: 2.0955 Loss2: 0.5450
2022-01-19 12:13:19.142926 Epoch [004/200], Step [0140/0253], Total_loss: 2.2002 Loss1: 1.7338 Loss2: 0.4664
2022-01-19 12:13:28.061090 Epoch [004/200], Step [0160/0253], Total_loss: 2.9602 Loss1: 2.2785 Loss2: 0.6817
2022-01-19 12:13:37.037284 Epoch [004/200], Step [0180/0253], Total_loss: 2.4668 Loss1: 1.9220 Loss2: 0.5448
2022-01-19 12:13:45.996029 Epoch [004/200], Step [0200/0253], Total_loss: 2.3401 Loss1: 1.8103 Loss2: 0.5298
2022-01-19 12:13:54.898765 Epoch [004/200], Step [0220/0253], Total_loss: 2.5261 Loss1: 1.9594 Loss2: 0.5667
2022-01-19 12:14:03.881205 Epoch [004/200], Step [0240/0253], Total_loss: 2.4451 Loss1: 1.9057 Loss2: 0.5394
2022-01-19 12:14:09.613399 Epoch [004/200], Step [0253/0253], Total_loss: 2.2660 Loss1: 1.7372 Loss2: 0.5288
Epoch: 4, MAE: 0.0488832425107676, bestMAE: 0.05440826132145526, bestEpoch: 2.
Save state_dict successfully! Best epoch:4.
2022-01-19 12:16:51.828395 Epoch [005/200], Step [0001/0253], Total_loss: 2.1903 Loss1: 1.7104 Loss2: 0.4800
2022-01-19 12:17:00.200495 Epoch [005/200], Step [0020/0253], Total_loss: 1.8565 Loss1: 1.4592 Loss2: 0.3974
2022-01-19 12:17:08.925856 Epoch [005/200], Step [0040/0253], Total_loss: 2.6824 Loss1: 2.0743 Loss2: 0.6081
2022-01-19 12:17:17.635154 Epoch [005/200], Step [0060/0253], Total_loss: 2.1192 Loss1: 1.6760 Loss2: 0.4432
2022-01-19 12:17:26.411472 Epoch [005/200], Step [0080/0253], Total_loss: 2.5134 Loss1: 1.9695 Loss2: 0.5440
2022-01-19 12:17:35.218041 Epoch [005/200], Step [0100/0253], Total_loss: 2.3201 Loss1: 1.8098 Loss2: 0.5103
2022-01-19 12:17:43.889050 Epoch [005/200], Step [0120/0253], Total_loss: 2.7068 Loss1: 2.1160 Loss2: 0.5908
2022-01-19 12:17:52.776471 Epoch [005/200], Step [0140/0253], Total_loss: 3.0179 Loss1: 2.3246 Loss2: 0.6933
2022-01-19 12:18:01.887969 Epoch [005/200], Step [0160/0253], Total_loss: 1.8287 Loss1: 1.4183 Loss2: 0.4104
2022-01-19 12:18:10.792647 Epoch [005/200], Step [0180/0253], Total_loss: 2.6052 Loss1: 1.9755 Loss2: 0.6297
2022-01-19 12:18:19.628169 Epoch [005/200], Step [0200/0253], Total_loss: 2.4482 Loss1: 1.8868 Loss2: 0.5615
2022-01-19 12:18:28.753487 Epoch [005/200], Step [0220/0253], Total_loss: 1.7743 Loss1: 1.3675 Loss2: 0.4068
2022-01-19 12:18:37.819702 Epoch [005/200], Step [0240/0253], Total_loss: 2.8073 Loss1: 2.1695 Loss2: 0.6378
2022-01-19 12:18:43.507704 Epoch [005/200], Step [0253/0253], Total_loss: 2.3161 Loss1: 1.8191 Loss2: 0.4970
Epoch: 5, MAE: 0.04963041621619643, bestMAE: 0.0488832425107676, bestEpoch: 4.
2022-01-19 12:21:24.677125 Epoch [006/200], Step [0001/0253], Total_loss: 2.1002 Loss1: 1.6356 Loss2: 0.4646
2022-01-19 12:21:34.441753 Epoch [006/200], Step [0020/0253], Total_loss: 1.9837 Loss1: 1.5449 Loss2: 0.4388
2022-01-19 12:21:48.370667 Epoch [006/200], Step [0040/0253], Total_loss: 2.3360 Loss1: 1.8025 Loss2: 0.5335
2022-01-19 12:21:57.125227 Epoch [006/200], Step [0060/0253], Total_loss: 2.5525 Loss1: 1.9747 Loss2: 0.5778
2022-01-19 12:22:05.950706 Epoch [006/200], Step [0080/0253], Total_loss: 2.0964 Loss1: 1.6498 Loss2: 0.4465
2022-01-19 12:22:14.716335 Epoch [006/200], Step [0100/0253], Total_loss: 2.0501 Loss1: 1.5743 Loss2: 0.4757
2022-01-19 12:22:23.484172 Epoch [006/200], Step [0120/0253], Total_loss: 2.7512 Loss1: 2.1288 Loss2: 0.6224
2022-01-19 12:22:32.292920 Epoch [006/200], Step [0140/0253], Total_loss: 2.1494 Loss1: 1.6395 Loss2: 0.5099
2022-01-19 12:22:41.303319 Epoch [006/200], Step [0160/0253], Total_loss: 2.4497 Loss1: 1.9008 Loss2: 0.5489
2022-01-19 12:22:50.390683 Epoch [006/200], Step [0180/0253], Total_loss: 1.9472 Loss1: 1.5131 Loss2: 0.4341
2022-01-19 12:22:59.192844 Epoch [006/200], Step [0200/0253], Total_loss: 1.9800 Loss1: 1.5490 Loss2: 0.4310
2022-01-19 12:23:08.209955 Epoch [006/200], Step [0220/0253], Total_loss: 2.3661 Loss1: 1.8075 Loss2: 0.5585
2022-01-19 12:23:17.260821 Epoch [006/200], Step [0240/0253], Total_loss: 2.6208 Loss1: 2.0126 Loss2: 0.6082
2022-01-19 12:23:22.904332 Epoch [006/200], Step [0253/0253], Total_loss: 2.9259 Loss1: 2.2337 Loss2: 0.6922
Epoch: 6, MAE: 0.04914731301117372, bestMAE: 0.0488832425107676, bestEpoch: 4.
2022-01-19 12:26:04.107815 Epoch [007/200], Step [0001/0253], Total_loss: 2.6293 Loss1: 2.0266 Loss2: 0.6027
2022-01-19 12:26:12.488870 Epoch [007/200], Step [0020/0253], Total_loss: 2.5824 Loss1: 1.9963 Loss2: 0.5861
2022-01-19 12:26:21.181172 Epoch [007/200], Step [0040/0253], Total_loss: 2.3552 Loss1: 1.8298 Loss2: 0.5254
2022-01-19 12:26:29.943222 Epoch [007/200], Step [0060/0253], Total_loss: 2.0780 Loss1: 1.5908 Loss2: 0.4871
2022-01-19 12:26:38.688144 Epoch [007/200], Step [0080/0253], Total_loss: 2.2438 Loss1: 1.7500 Loss2: 0.4938
2022-01-19 12:26:47.478645 Epoch [007/200], Step [0100/0253], Total_loss: 2.2288 Loss1: 1.7169 Loss2: 0.5120
2022-01-19 12:26:56.185809 Epoch [007/200], Step [0120/0253], Total_loss: 2.2971 Loss1: 1.7756 Loss2: 0.5215
2022-01-19 12:27:05.102744 Epoch [007/200], Step [0140/0253], Total_loss: 2.2543 Loss1: 1.7300 Loss2: 0.5243
2022-01-19 12:27:14.081327 Epoch [007/200], Step [0160/0253], Total_loss: 1.9518 Loss1: 1.5060 Loss2: 0.4457
2022-01-19 12:27:23.076950 Epoch [007/200], Step [0180/0253], Total_loss: 2.6055 Loss1: 2.0346 Loss2: 0.5709
2022-01-19 12:27:32.034698 Epoch [007/200], Step [0200/0253], Total_loss: 1.8050 Loss1: 1.3894 Loss2: 0.4155
2022-01-19 12:27:40.979590 Epoch [007/200], Step [0220/0253], Total_loss: 1.8386 Loss1: 1.4266 Loss2: 0.4119
2022-01-19 12:27:49.961230 Epoch [007/200], Step [0240/0253], Total_loss: 2.0933 Loss1: 1.6245 Loss2: 0.4688
2022-01-19 12:27:55.562421 Epoch [007/200], Step [0253/0253], Total_loss: 2.5233 Loss1: 1.9130 Loss2: 0.6103
Epoch: 7, MAE: 0.0515660779632595, bestMAE: 0.0488832425107676, bestEpoch: 4.
2022-01-19 12:30:36.569200 Epoch [008/200], Step [0001/0253], Total_loss: 1.7143 Loss1: 1.3384 Loss2: 0.3759
